iter	Passed	Remaining
0	6	6513
1	12	6114
2	18	6011
3	23	5860
4	28	5742
5	34	5677
6	39	5560
7	43	5454
8	48	5374
9	52	5235
10	56	5078
11	60	4940
12	63	4805
13	66	4694
14	69	4580
15	72	4483
16	76	4405
17	79	4337
18	82	4266
19	85	4187
20	88	4122
21	91	4064
22	93	3982
23	96	3935
24	99	3894
25	103	3875
26	106	3853
27	109	3816
28	113	3791
29	116	3759
30	119	3734
31	122	3707
32	125	3686
33	129	3673
34	132	3653
35	135	3632
36	139	3618
37	142	3602
38	145	3590
39	148	3572
40	152	3560
41	155	3541
42	158	3529
43	161	3516
44	164	3497
45	167	3482
46	170	3465
47	174	3452
48	177	3440
49	180	3425
50	183	3412
51	186	3400
52	189	3389
53	192	3377
54	195	3366
55	198	3353
56	202	3343
57	205	3330
58	208	3325
59	211	3315
60	214	3304
61	217	3291
62	220	3278
63	223	3267
64	226	3254
65	229	3243
66	232	3232
67	235	3222
68	238	3214
69	241	3205
70	244	3195
71	247	3187
72	250	3180
73	253	3173
74	256	3165
75	259	3157
76	262	3150
77	265	3143
78	269	3136
79	272	3132
80	275	3123
81	278	3117
82	281	3109
83	284	3100
84	287	3094
85	290	3087
86	293	3079
87	296	3071
88	299	3065
89	302	3061
90	305	3053
91	308	3046
92	311	3039
93	314	3032
94	317	3026
95	320	3020
96	323	3014
97	326	3007
98	329	3002
99	332	2996
100	336	2990
101	338	2983
102	341	2977
103	344	2969
104	347	2962
105	350	2959
106	353	2954
107	356	2948
108	359	2942
109	362	2936
110	366	2932
111	369	2929
112	372	2922
113	375	2916
114	378	2911
115	381	2908
116	385	2906
117	388	2902
118	391	2899
119	394	2895
120	398	2891
121	401	2886
122	404	2881
123	407	2875
124	410	2873
125	414	2872
126	417	2867
127	420	2862
128	423	2857
129	426	2852
130	429	2848
131	432	2844
132	435	2839
133	438	2835
134	441	2831
135	444	2826
136	448	2822
137	450	2816
138	453	2812
139	457	2808
140	460	2803
141	463	2798
142	466	2797
143	469	2793
144	472	2788
145	475	2783
146	478	2779
147	481	2774
148	484	2769
149	487	2764
150	491	2760
151	494	2758
152	497	2754
153	500	2750
154	503	2746
155	506	2742
156	510	2738
157	512	2733
158	515	2727
159	518	2722
160	521	2717
161	524	2712
162	527	2708
163	530	2704
164	533	2699
165	536	2694
166	539	2690
167	542	2687
168	545	2683
169	548	2680
170	552	2676
171	555	2672
172	558	2668
173	561	2664
174	564	2660
175	567	2656
176	570	2652
177	573	2648
178	576	2644
179	579	2640
180	582	2636
181	585	2632
182	588	2628
183	591	2624
184	594	2620
185	597	2616
186	600	2612
187	603	2608
188	606	2604
189	609	2600
190	613	2596
191	616	2593
192	619	2589
193	622	2587
194	625	2584
195	629	2580
196	632	2576
197	635	2572
198	638	2569
199	641	2564
200	644	2560
201	647	2557
202	650	2552
203	653	2549
204	656	2545
205	659	2541
206	662	2537
207	665	2532
208	668	2528
209	671	2524
210	674	2520
211	677	2517
212	680	2513
213	683	2509
214	686	2506
215	689	2502
216	692	2498
217	695	2495
218	698	2490
219	701	2487
220	704	2483
221	707	2479
222	710	2475
223	713	2472
224	716	2467
225	719	2464
226	722	2461
227	725	2457
228	728	2453
229	731	2450
230	735	2446
231	738	2443
232	741	2439
233	744	2436
234	747	2432
235	750	2430
236	754	2427
237	757	2424
238	760	2421
239	763	2418
240	766	2415
241	769	2411
242	772	2408
243	775	2404
244	778	2399
245	782	2397
246	785	2394
247	788	2390
248	791	2387
249	794	2383
250	797	2379
251	800	2376
252	803	2372
253	806	2369
254	809	2365
255	812	2362
256	816	2359
257	819	2355
258	822	2352
259	825	2348
260	828	2344
261	831	2340
262	833	2336
263	836	2332
264	839	2328
265	842	2324
266	845	2321
267	848	2317
268	851	2313
269	854	2310
270	857	2306
271	860	2303
272	863	2300
273	866	2296
274	869	2292
275	872	2289
276	875	2285
277	878	2282
278	882	2279
279	885	2276
280	888	2272
281	891	2269
282	894	2265
283	897	2262
284	900	2259
285	903	2255
286	906	2251
287	909	2248
288	912	2245
289	915	2242
290	919	2239
291	921	2235
292	925	2232
293	928	2228
294	931	2225
295	934	2222
296	937	2219
297	940	2216
298	944	2213
299	947	2210
300	950	2206
301	953	2203
302	956	2200
303	959	2197
304	962	2193
305	965	2190
306	968	2187
307	971	2183
308	975	2180
309	978	2177
310	981	2173
311	984	2171
312	988	2168
313	991	2166
314	994	2163
315	998	2160
316	1001	2158
317	1005	2155
318	1008	2152
319	1011	2150
320	1015	2147
321	1018	2144
322	1021	2141
323	1024	2138
324	1028	2135
325	1031	2132
326	1034	2129
327	1037	2126
328	1040	2123
329	1044	2119
330	1047	2116
331	1050	2113
332	1053	2110
333	1057	2107
334	1060	2104
335	1063	2101
336	1066	2097
337	1069	2094
338	1072	2092
339	1076	2088
340	1079	2085
341	1082	2082
342	1085	2079
343	1089	2076
344	1092	2074
345	1095	2071
346	1099	2068
347	1103	2066
348	1106	2064
349	1109	2061
350	1113	2058
351	1117	2056
352	1120	2053
353	1123	2050
354	1127	2047
355	1130	2045
356	1134	2042
357	1137	2039
358	1140	2036
359	1143	2033
360	1147	2030
361	1150	2027
362	1153	2024
363	1157	2021
364	1160	2018
365	1164	2016
366	1167	2013
367	1170	2009
368	1173	2006
369	1176	2003
370	1179	2000
371	1183	1997
372	1186	1994
373	1189	1991
374	1192	1987
375	1196	1985
376	1199	1982
377	1202	1979
378	1205	1975
379	1208	1972
380	1211	1968
381	1214	1965
382	1217	1962
383	1220	1958
384	1224	1955
385	1227	1951
386	1230	1948
387	1233	1945
388	1236	1941
389	1239	1938
390	1242	1934
391	1245	1931
392	1248	1928
393	1251	1925
394	1254	1921
395	1257	1918
396	1260	1915
397	1263	1911
398	1267	1908
399	1270	1905
400	1273	1902
401	1276	1898
402	1279	1895
403	1282	1892
404	1285	1888
405	1288	1885
406	1291	1881
407	1294	1878
408	1297	1874
409	1300	1871
410	1304	1868
411	1307	1865
412	1310	1862
413	1313	1859
414	1316	1856
415	1319	1853
416	1323	1850
417	1326	1847
418	1329	1843
419	1332	1840
420	1336	1837
421	1339	1834
422	1342	1830
423	1345	1827
424	1348	1824
425	1351	1821
426	1354	1818
427	1358	1815
428	1361	1811
429	1364	1808
430	1367	1805
431	1370	1802
432	1374	1799
433	1377	1796
434	1380	1793
435	1383	1790
436	1387	1787
437	1391	1784
438	1394	1782
439	1398	1779
440	1401	1776
441	1405	1773
442	1408	1770
443	1411	1767
444	1415	1765
445	1418	1762
446	1421	1759
447	1425	1756
448	1428	1753
449	1432	1750
450	1436	1748
451	1439	1745
452	1442	1742
453	1446	1739
454	1449	1736
455	1453	1733
456	1456	1730
457	1459	1727
458	1462	1723
459	1465	1720
460	1469	1717
461	1472	1714
462	1475	1711
463	1478	1708
464	1482	1705
465	1485	1702
466	1488	1699
467	1492	1696
468	1495	1693
469	1499	1690
470	1502	1687
471	1505	1684
472	1509	1681
473	1512	1678
474	1516	1675
475	1519	1672
476	1522	1669
477	1526	1666
478	1529	1663
479	1532	1660
480	1535	1656
481	1538	1653
482	1542	1650
483	1545	1647
484	1548	1644
485	1552	1641
486	1555	1638
487	1558	1635
