iter	RMSE
0	360867.3649
1	341327.6678
2	327856.421
3	314569.8842
4	302540.9417
5	289080.5091
6	280029.4778
7	268899.2375
8	258577.0096
9	249738.8727
10	237615.1294
11	231058.8799
12	220804.1507
13	210333.3129
14	202807.4274
15	193989.8602
16	187542.4632
17	181765.9343
18	176613.915
19	171242.1534
20	165183.4731
21	160316.2247
22	156994.6483
23	154391.3615
24	149088.8789
25	144305.8234
26	139790.3677
27	134510.8257
28	130888.6963
29	127397.415
30	123129.0085
31	120679.4349
32	116451.05
33	114583.922
34	111153.1915
35	107762.6109
36	106174.1698
37	103306.0126
38	101567.8327
39	100308.4036
40	97828.24397
41	96262.8173
42	94632.21223
43	93354.273
44	91657.56573
45	89744.49642
46	88917.45412
47	87622.46389
48	86204.65496
49	85305.45257
50	84762.77481
51	83890.08962
52	82906.94861
53	81633.88475
54	80744.06978
55	80039.33712
56	78903.32385
57	78164.3563
58	77429.12607
59	76412.54026
60	75426.71274
61	74424.6138
62	73656.44346
63	72786.9716
64	71955.10608
65	71236.53586
66	70880.73445
67	70253.25117
68	69644.20789
69	69245.59475
70	68775.32323
71	67962.81813
72	67129.68832
73	66418.79277
74	65891.39258
75	65255.60682
76	64292.17439
77	63873.34904
78	63413.22724
79	62991.41725
80	62335.45461
81	61586.7259
82	60646.20357
83	59916.80053
84	59478.76561
85	59065.46049
86	58682.40205
87	58289.29049
88	58040.29837
89	57777.86065
90	57413.46384
91	56972.04578
92	56558.85799
93	56250.42986
94	55753.21628
95	55265.59008
96	54928.71149
97	54561.69438
98	54221.52725
99	54101.89421
100	53778.45565
101	53500.29173
102	53401.07456
103	53029.0676
104	52899.67697
105	52651.15896
106	52541.8351
107	52249.03034
108	52014.98454
109	51917.43065
110	51814.92193
111	51531.43053
112	51378.19332
113	51050.82885
114	50967.33089
115	50863.73922
116	50787.68062
117	50709.77825
118	50581.88641
119	50493.0932
120	50176.96491
121	49801.50032
122	49580.47974
123	49344.37344
124	49166.77959
125	48913.05318
126	48677.2041
127	48461.44285
128	48194.47449
129	48048.92432
130	47765.28885
131	47601.39473
132	47397.35804
133	47335.36583
134	47162.59773
135	47102.67272
136	46896.59206
137	46819.86289
138	46619.19459
139	46565.42489
140	46514.60787
141	46256.789
142	46051.06081
143	45784.47169
144	45723.81198
145	45509.48367
146	45464.61427
147	45422.26552
148	45133.70444
149	45111.34419
150	44920.1181
151	44698.07326
152	44468.9503
153	44337.47582
154	44136.54201
155	44084.22088
156	44039.55675
157	43936.61079
158	43892.03237
159	43653.01234
160	43556.68386
161	43377.51819
162	43337.63292
163	43300.06798
164	43256.89271
165	43161.85455
166	43004.2991
167	42968.67262
168	42719.99911
169	42427.86865
170	42260.10364
171	42217.62852
172	42109.83558
173	42081.89394
174	42036.6688
175	41994.45849
176	41964.35358
177	41925.98373
178	41891.0182
179	41826.27489
180	41791.03982
181	41493.59222
182	41351.53848
183	41298.3311
184	41246.434
185	41085.52741
186	41028.76625
187	40962.38864
188	40818.9737
189	40795.86583
190	40772.0045
191	40582.61471
192	40509.85011
193	40484.74087
194	40342.06297
195	40321.12561
196	40203.33208
197	40050.81735
198	39936.88465
199	39861.17259
200	39826.35422
201	39708.14968
202	39649.2575
203	39502.0153
204	39412.81523
205	39384.4691
206	39269.14773
207	39248.87468
208	39145.55159
209	38994.22159
210	38926.57043
211	38881.28573
212	38861.15632
213	38726.75666
214	38606.97498
215	38504.22846
216	38486.64391
217	38454.6427
218	38351.74716
219	38329.37165
220	38300.45641
221	38186.72659
222	38166.37045
223	38149.75161
224	38136.45025
225	38110.65915
226	38017.88482
227	37970.64351
228	37953.04389
229	37828.61237
230	37729.19927
231	37679.05735
232	37557.98335
233	37504.47323
234	37483.65387
235	37416.03042
236	37345.89155
237	37320.49949
238	37306.52426
239	37251.01484
240	37131.53394
241	37111.45426
242	37070.38849
243	37050.21145
244	37037.63171
245	36931.97517
246	36820.47312
247	36718.74229
248	36652.29455
249	36623.05247
250	36600.98118
251	36589.1726
252	36572.32521
253	36552.33578
254	36528.6753
255	36513.37937
256	36419.69075
257	36407.86742
258	36379.35133
259	36306.86139
260	36272.18644
